SAMUEL KWEKU OBODAI,,NPP,25397,2012,AGONA WEST,,,M
STEPHEN ATO WILSON,,PPP,704,2012,AGONA WEST,,,M
GEORGE AMPIH-BINEY,,CPP,342,2012,AGONA WEST,,,M
ALFRED KWAME AMPONSAH,,NDP,93,2012,AGONA WEST,,,M
JOHN MAHAMA,,NDC,24416,2012,Ajumako/Enyan/Esiam,,,P
HENRY LARTEY,,GCPP,246,2012,Ajumako/Enyan/Esiam,,,P
NANA AKUFO-ADDO,,NPP,21300,2012,Ajumako/Enyan/Esiam,,,P
PAA KWESI NDUOM,,PPP,394,2012,Ajumako/Enyan/Esiam,,,P
AKWASI ADAE,,UFP,43,2012,Ajumako/Enyan/Esiam,,,P
HASSAN AYARIGA,,PNC,74,2012,Ajumako/Enyan/Esiam,,,P
ABU SAKARA,,CPP,86,2012,Ajumako/Enyan/Esiam,,,P
JACOB OSEI YEBOAH,,IND,46,2012,Ajumako/Enyan/Esiam,,,P
CASSIEL ATO BAAH FORSON,,NDC,24752,2012,Ajumako/Enyan/Esiam,,,M
FESTUS BEEDU-TURKSON,,NPP,21462,2012,Ajumako/Enyan/Esiam,,,M
LEONARD YAKUBU ESSEL-DADZIE,,CPP,446,2012,Ajumako/Enyan/Esiam,,,M
SAMUEL AGGREY FORSON,,IND,174,2012,Ajumako/Enyan/Esiam,,,M
JERRY HENRY QUANSAH,,PPP,163,2012,Ajumako/Enyan/Esiam,,,M
JOHN MAHAMA,,NDC,5574761,2012,Asikuma/Odoben/Brakwa,,,P
HENRY LARTEY,,GCPP,38223,2012,Asikuma/Odoben/Brakwa,,,P
NANA AKUFO-ADDO,,NPP,5248898,2012,Asikuma/Odoben/Brakwa,,,P
PAA KWESI NDUOM,,PPP,64362,2012,Asikuma/Odoben/Brakwa,,,P
AKWASI ADAE,,UFP,8877,2012,Asikuma/Odoben/Brakwa,,,P
HASSAN AYARIGA,,PNC,24617,2012,Asikuma/Odoben/Brakwa,,,P
ABU SAKARA,,CPP,20323,2012,Asikuma/Odoben/Brakwa,,,P
JACOB OSEI YEBOAH,,IND,15201,2012,Asikuma/Odoben/Brakwa,,,P
GEORGINA NKRUMAH ABOAH,,NDC,23812,2012,Asikuma/Odoben/Brakwa,,,M
ANTHONY EFFAH,,NPP,21021,2012,Asikuma/Odoben/Brakwa,,,M
BANNASCO AMPONG-ANSAH,,IND,609,2012,Asikuma/Odoben/Brakwa,,,M
COMFORT WILSON AGGREY,,PPP,337,2012,Asikuma/Odoben/Brakwa,,,M
JAMES KYEI-BAAH,,NDP,95,2012,Asikuma/Odoben/Brakwa,,,M
JOHN MAHAMA,,NDC,13105,2012,ASSIN CENTRAL,,,P
HENRY LARTEY,,GCPP,117,2012,ASSIN CENTRAL,,,P
NANA AKUFO-ADDO,,NPP,16157,2012,ASSIN CENTRAL,,,P
PAA KWESI NDUOM,,PPP,181,2012,ASSIN CENTRAL,,,P
AKWASI ADAE,,UFP,21,2012,ASSIN CENTRAL,,,P
HASSAN AYARIGA,,PNC,22,2012,ASSIN CENTRAL,,,P
ABU SAKARA,,CPP,31,2012,ASSIN CENTRAL,,,P
JACOB OSEI YEBOAH,,IND,14,2012,ASSIN CENTRAL,,,P
KEN OHENE AGYAPONG,,NPP,16347,2012,ASSIN CENTRAL,,,M
ALEX DEWISE ANTWI-BOASIAKO,,NDC,13202,2012,ASSIN CENTRAL,,,M
ROSINA AKUORKOR TEYE,,PPP,272,2012,ASSIN CENTRAL,,,M
PATRICK ADU GYAPONG,,NDP,244,2012,ASSIN CENTRAL,,,M
JOHN MAHAMA,,NDC,5574761,2012,ASSIN NORTH,,,P
HENRY LARTEY,,GCPP,38223,2012,ASSIN NORTH,,,P
NANA AKUFO-ADDO,,NPP,5248898,2012,ASSIN NORTH,,,P
PAA KWESI NDUOM,,PPP,64362,2012,ASSIN NORTH,,,P
AKWASI ADAE,,UFP,8877,2012,ASSIN NORTH,,,P
HASSAN AYARIGA,,PNC,24617,2012,ASSIN NORTH,,,P
ABU SAKARA,,CPP,20323,2012,ASSIN NORTH,,,P
JACOB OSEI YEBOAH,,IND,15201,2012,ASSIN NORTH,,,P
AMBRE SAMUEL,,NDC,14338,2012,ASSIN NORTH,,,M
EBENEZER APPIAH-KUBI,,NPP,12281,2012,ASSIN NORTH,,,M
AKAKPO JOHN GAMELEY,,PPP,884,2012,ASSIN NORTH,,,M
SAMUEL MAHAMA,,CPP,131,2012,ASSIN NORTH,,,M
DANIEL GIBSON GYETUAN,,NDP,129,2012,ASSIN NORTH,,,M
JOHN MAHAMA,,NDC,17059,2012,ASSIN SOUTH,,,P
HENRY LARTEY,,GCPP,238,2012,ASSIN SOUTH,,,P
NANA AKUFO-ADDO,,NPP,21386,2012,ASSIN SOUTH,,,P
PAA KWESI NDUOM,,PPP,521,2012,ASSIN SOUTH,,,P
AKWASI ADAE,,UFP,32,2012,ASSIN SOUTH,,,P
HASSAN AYARIGA,,PNC,44,2012,ASSIN SOUTH,,,P
ABU SAKARA,,CPP,64,2012,ASSIN SOUTH,,,P
JACOB OSEI YEBOAH,,IND,37,2012,ASSIN SOUTH,,,P
DOMINIC KWAKU FOBIH,,NPP,19834,2012,ASSIN SOUTH,,,M
SABINA APPIAH-KUBI,,NDC,17903,2012,ASSIN SOUTH,,,M
STEPHEN KOFI BAIDOO JNR,,PPP,1347,2012,ASSIN SOUTH,,,M
ARHIN PAUL ESSUMANG,,PNC,314,2012,ASSIN SOUTH,,,M
KOFI AFRAN AGYEI,,NDP,109,2012,ASSIN SOUTH,,,M
ABBAM LARTEY SANKOFIE,,CPP,90,2012,ASSIN SOUTH,,,M
JOHN MAHAMA,,NDC,28228,2012,AWUTU SENYA EAST,,,P
HENRY LARTEY,,GCPP,16,2012,AWUTU SENYA EAST,,,P
NANA AKUFO-ADDO,,NPP,30481,2012,AWUTU SENYA EAST,,,P
PAA KWESI NDUOM,,PPP,323,2012,AWUTU SENYA EAST,,,P
AKWASI ADAE,,UFP,27,2012,AWUTU SENYA EAST,,,P
HASSAN AYARIGA,,PNC,30,2012,AWUTU SENYA EAST,,,P
ABU SAKARA,,CPP,29,2012,AWUTU SENYA EAST,,,P
JACOB OSEI YEBOAH,,IND,17,2012,AWUTU SENYA EAST,,,P
MAVIS HAWA KOOMSON,,NPP,31054,2012,AWUTU SENYA EAST,,,M
ADAMS NUHU,,NDC,26884,2012,AWUTU SENYA EAST,,,M
RASHEED ADU-GYAMFI,,PPP,1024,2012,AWUTU SENYA EAST,,,M
MUMUNI IDDISAH,,PNC,124,2012,AWUTU SENYA EAST,,,M
EDWARD KWASI ANTWI,,NDP,64,2012,AWUTU SENYA EAST,,,M
JOHN MAHAMA,,NDC,23509,2012,AWUTU SENYA WEST,,,P
HENRY LARTEY,,GCPP,208,2012,AWUTU SENYA WEST,,,P
NANA AKUFO-ADDO,,NPP,21566,2012,AWUTU SENYA WEST,,,P
PAA KWESI NDUOM,,PPP,654,2012,AWUTU SENYA WEST,,,P
AKWASI ADAE,,UFP,47,2012,AWUTU SENYA WEST,,,P
HASSAN AYARIGA,,PNC,40,2012,AWUTU SENYA WEST,,,P
ABU SAKARA,,CPP,67,2012,AWUTU SENYA WEST,,,P
JACOB OSEI YEBOAH,,IND,42,2012,AWUTU SENYA WEST,,,P
HANNA SERWAA TETTEH,,NDC,23803,2012,AWUTU SENYA WEST,,,M
OPPEY ABBEY,,NPP,18487,2012,AWUTU SENYA WEST,,,M
MOSES ARHINFUL ACQUAH,,PPP,3237,2012,AWUTU SENYA WEST,,,M
EMMANUEL NENYI ABBIW MENSAH,,CPP,1288,2012,AWUTU SENYA WEST,,,M
EMMANNUEL OKANTA ANKRAH,,URP,214,2012,AWUTU SENYA WEST,,,M
JOHN MAHAMA,,NDC,22920,2012,CAPE COAST NORTH,,,P
HENRY LARTEY,,GCPP,99,2012,CAPE COAST NORTH,,,P
NANA AKUFO-ADDO,,NPP,19246,2012,CAPE COAST NORTH,,,P
PAA KWESI NDUOM,,PPP,711,2012,CAPE COAST NORTH,,,P
AKWASI ADAE,,UFP,9,2012,CAPE COAST NORTH,,,P
HASSAN AYARIGA,,PNC,23,2012,CAPE COAST NORTH,,,P
ABU SAKARA,,CPP,60,2012,CAPE COAST NORTH,,,P
JACOB OSEI YEBOAH,,IND,12,2012,CAPE COAST NORTH,,,P
EBO BARTON - ODRO,,NDC,21189,2012,CAPE COAST NORTH,,,M
DR. MRS. HENRIETTA ABANE,,NPP,19558,2012,CAPE COAST NORTH,,,M
SARAH MARY BUCKNOR MRS,,PPP,2376,2012,CAPE COAST NORTH,,,M
JOHN MAHAMA,,NDC,22683,2012,CAPE COAST SOUTH,,,P
HENRY LARTEY,,GCPP,58,2012,CAPE COAST SOUTH,,,P
NANA AKUFO-ADDO,,NPP,18834,2012,CAPE COAST SOUTH,,,P
PAA KWESI NDUOM,,PPP,444,2012,CAPE COAST SOUTH,,,P
AKWASI ADAE,,UFP,9,2012,CAPE COAST SOUTH,,,P
HASSAN AYARIGA,,PNC,14,2012,CAPE COAST SOUTH,,,P
ABU SAKARA,,CPP,52,2012,CAPE COAST SOUTH,,,P
JACOB OSEI YEBOAH,,IND,7,2012,CAPE COAST SOUTH,,,P
RICKETS HAGAN KWEKU,,NDC,22150,2012,CAPE COAST SOUTH,,,M
ALFRED GEORGE THOMPSON,,NPP,19206,2012,CAPE COAST SOUTH,,,M
BRIGHT EDEM DROEFENU,,PPP,782,2012,CAPE COAST SOUTH,,,M
ATO AIDOO-NYANOR,,CPP,125,2012,CAPE COAST SOUTH,,,M
JOHN MAHAMA,,NDC,18219,2012,EFFUTU,,,P
HENRY LARTEY,,GCPP,129,2012,EFFUTU,,,P
NANA AKUFO-ADDO,,NPP,18074,2012,EFFUTU,,,P
PAA KWESI NDUOM,,PPP,444,2012,EFFUTU,,,P
AKWASI ADAE,,UFP,38,2012,EFFUTU,,,P
HASSAN AYARIGA,,PNC,29,2012,EFFUTU,,,P
ABU SAKARA,,CPP,12,2012,EFFUTU,,,P
JACOB OSEI YEBOAH,,IND,25,2012,EFFUTU,,,P
ALEXANDER AFENYO-MARKIN,,NPP,19062,2012,EFFUTU,,,M
MIKE ALLEN HAMMAH,,NDC,16977,2012,EFFUTU,,,M
NANA OFORI OWUSU,,PPP,621,2012,EFFUTU,,,M
ABDULRAHIM MOHAMMED SAANI,,PNC,43,2012,EFFUTU,,,M
KOFI BONDZIE BAIDOO,,CPP,39,2012,EFFUTU,,,M
KOJO BASSAN,,NDP,22,2012,EFFUTU,,,M
JOHN MAHAMA,,NDC,18026,2012,EKUMFI,,,P
HENRY LARTEY,,GCPP,124,2012,EKUMFI,,,P
NANA AKUFO-ADDO,,NPP,7570,2012,EKUMFI,,,P
PAA KWESI NDUOM,,PPP,353,2012,EKUMFI,,,P
AKWASI ADAE,,UFP,18,2012,EKUMFI,,,P
HASSAN AYARIGA,,PNC,47,2012,EKUMFI,,,P
ABU SAKARA,,CPP,32,2012,EKUMFI,,,P
JACOB OSEI YEBOAH,,IND,21,2012,EKUMFI,,,P
ABEIKU CRENTSIL,,NDC,16615,2012,EKUMFI,,,M
FRANCIS KINGSLEY ATO CODJOE,,NPP,9395,2012,EKUMFI,,,M
FRANCIS PAINE ATTA,,PPP,333,2012,EKUMFI,,,M
AHMAD KALEEM ANDERSON,,NDP,120,2012,EKUMFI,,,M
JOHN MAHAMA,,NDC,15615,2012,GOMOA CENTRAL,,,P
HENRY LARTEY,,GCPP,144,2012,GOMOA CENTRAL,,,P
NANA AKUFO-ADDO,,NPP,11215,2012,GOMOA CENTRAL,,,P
PAA KWESI NDUOM,,PPP,264,2012,GOMOA CENTRAL,,,P
AKWASI ADAE,,UFP,21,2012,GOMOA CENTRAL,,,P
HASSAN AYARIGA,,PNC,45,2012,GOMOA CENTRAL,,,P
ABU SAKARA,,CPP,31,2012,GOMOA CENTRAL,,,P
JACOB OSEI YEBOAH,,IND,27,2012,GOMOA CENTRAL,,,P
RACHEL FLORENCE APPOH,,NDC,15719,2012,GOMOA CENTRAL,,,M
DR. EDWARD NANA KETU CUDJOE,,NPP,11385,2012,GOMOA CENTRAL,,,M
GRACE IGNOPHIA APPIAH,,PPP,314,2012,GOMOA CENTRAL,,,M
ISAAC TURKSON,,NDP,108,2012,GOMOA CENTRAL,,,M
JOHN MAHAMA,,NDC,19741,2012,GOMOA EAST,,,P
HENRY LARTEY,,GCPP,147,2012,GOMOA EAST,,,P
NANA AKUFO-ADDO,,NPP,15341,2012,GOMOA EAST,,,P
PAA KWESI NDUOM,,PPP,336,2012,GOMOA EAST,,,P
AKWASI ADAE,,UFP,19,2012,GOMOA EAST,,,P
HASSAN AYARIGA,,PNC,32,2012,GOMOA EAST,,,P
ABU SAKARA,,CPP,35,2012,GOMOA EAST,,,P
JACOB OSEI YEBOAH,,IND,31,2012,GOMOA EAST,,,P
EKOW PANYIN OKYERE EDUAMOAH,,NDC,18538,2012,GOMOA EAST,,,M
RICHMOND SAM QUARM,,NPP,15449,2012,GOMOA EAST,,,M
MOHAMMED ISSAKA,,PPP,685,2012,GOMOA EAST,,,M
