ABU SAKARA,CPP,33,2012,LEDZOKUKU,P
JACOB OSEI YEBOAH,IND,11,2012,LEDZOKUKU,P
BENITA SENA OKITY-DUAH,NDC,52524,2012,LEDZOKUKU,M
GLADYS NORLEY ASHITEY,NPP,42038,2012,LEDZOKUKU,M
ROBERT ADJETEY SOWAH,PPP,511,2012,LEDZOKUKU,M
EMMANUEL NII ASHIA ANYANKOR,CPP,188,2012,LEDZOKUKU,M
YAKUBU FAHARUDEEN,PNC,163,2012,LEDZOKUKU,M
MICHAEL ADJEI,NDP,73,2012,LEDZOKUKU,M
JOHN MAHAMA,NDC,45626,2012,MADINA,P
HENRY LARTEY,GCPP,59,2012,MADINA,P
NANA AKUFO-ADDO,NPP,34657,2012,MADINA,P
PAA KWESI NDUOM,PPP,295,2012,MADINA,P
AKWASI ADAE,UFP,6,2012,MADINA,P
HASSAN AYARIGA,PNC,25,2012,MADINA,P
ABU SAKARA,CPP,92,2012,MADINA,P
JACOB OSEI YEBOAH,IND,5,2012,MADINA,P
AMADU BUKARI SOROGHO,NDC,41441,2012,MADINA,M
JAMES AMOAH,NPP,34845,2012,MADINA,M
NASIBA TAAHIRU SWALLAH,IND,1237,2012,MADINA,M
AGYEKUM MICHAEL,PPP,1136,2012,MADINA,M
ANABILA EVELYN LAMISI,CPP,766,2012,MADINA,M
HATT NUREINE ALHASSAN,NDP,107,2012,MADINA,M
ERIC TWENEBOAH KODUA,DPP,62,2012,MADINA,M
JOHN OKPOTI KODUA,IND,0,2012,MADINA,M
NII MENSAH OKPOTI KODUA,IND,0,2012,MADINA,M
JOHN MAHAMA,NDC,28490,2012,Ningo-Prampram,P
HENRY LARTEY,GCPP,137,2012,NINGO-PRAMPRAM,P
NANA AKUFO-ADDO,NPP,9681,2012,NINGO-PRAMPRAM,P
PAA KWESI NDUOM,PPP,161,2012,NINGO-PRAMPRAM,P
AKWASI ADAE,UFP,41,2012,NINGO-PRAMPRAM,P
HASSAN AYARIGA,PNC,100,2012,NINGO-PRAMPRAM,P
ABU SAKARA,CPP,100,2012,NINGO-PRAMPRAM,P
