AKWASI ADAE,,UFP,9,2012,CAPE COAST NORTH,,,P
HASSAN AYARIGA,,PNC,23,2012,CAPE COAST NORTH,,,P
ABU SAKARA,,CPP,60,2012,CAPE COAST NORTH,,,P
JACOB OSEI YEBOAH,,IND,12,2012,CAPE COAST NORTH,,,P
EBO BARTON - ODRO,,NDC,21189,2012,CAPE COAST NORTH,,,M
DR. MRS. HENRIETTA ABANE,,NPP,19558,2012,CAPE COAST NORTH,,,M
SARAH MARY BUCKNOR MRS,,PPP,2376,2012,CAPE COAST NORTH,,,M
JOHN MAHAMA,,NDC,22683,2012,CAPE COAST SOUTH,,,P
HENRY LARTEY,,GCPP,58,2012,CAPE COAST SOUTH,,,P
NANA AKUFO-ADDO,,NPP,18834,2012,CAPE COAST SOUTH,,,P
PAA KWESI NDUOM,,PPP,444,2012,CAPE COAST SOUTH,,,P
AKWASI ADAE,,UFP,9,2012,CAPE COAST SOUTH,,,P
HASSAN AYARIGA,,PNC,14,2012,CAPE COAST SOUTH,,,P
ABU SAKARA,,CPP,52,2012,CAPE COAST SOUTH,,,P
JACOB OSEI YEBOAH,,IND,7,2012,CAPE COAST SOUTH,,,P
RICKETS HAGAN KWEKU,,NDC,22150,2012,CAPE COAST SOUTH,,,M
ALFRED GEORGE THOMPSON,,NPP,19206,2012,CAPE COAST SOUTH,,,M
BRIGHT EDEM DROEFENU,,PPP,782,2012,CAPE COAST SOUTH,,,M
ATO AIDOO-NYANOR,,CPP,125,2012,CAPE COAST SOUTH,,,M
JOHN MAHAMA,,NDC,18219,2012,EFFUTU,,,P
HENRY LARTEY,,GCPP,129,2012,EFFUTU,,,P
NANA AKUFO-ADDO,,NPP,18074,2012,EFFUTU,,,P
PAA KWESI NDUOM,,PPP,444,2012,EFFUTU,,,P
AKWASI ADAE,,UFP,38,2012,EFFUTU,,,P
HASSAN AYARIGA,,PNC,29,2012,EFFUTU,,,P
ABU SAKARA,,CPP,12,2012,EFFUTU,,,P
JACOB OSEI YEBOAH,,IND,25,2012,EFFUTU,,,P
ALEXANDER AFENYO-MARKIN,,NPP,19062,2012,EFFUTU,,,M
MIKE ALLEN HAMMAH,,NDC,16977,2012,EFFUTU,,,M
NANA OFORI OWUSU,,PPP,621,2012,EFFUTU,,,M
ABDULRAHIM MOHAMMED SAANI,,PNC,43,2012,EFFUTU,,,M
KOFI BONDZIE BAIDOO,,CPP,39,2012,EFFUTU,,,M
KOJO BASSAN,,NDP,22,2012,EFFUTU,,,M
JOHN MAHAMA,,NDC,18026,2012,EKUMFI,,,P
HENRY LARTEY,,GCPP,124,2012,EKUMFI,,,P
NANA AKUFO-ADDO,,NPP,7570,2012,EKUMFI,,,P
PAA KWESI NDUOM,,PPP,353,2012,EKUMFI,,,P
AKWASI ADAE,,UFP,18,2012,EKUMFI,,,P
HASSAN AYARIGA,,PNC,47,2012,EKUMFI,,,P
ABU SAKARA,,CPP,32,2012,EKUMFI,,,P
JACOB OSEI YEBOAH,,IND,21,2012,EKUMFI,,,P
ABEIKU CRENTSIL,,NDC,16615,2012,EKUMFI,,,M
FRANCIS KINGSLEY ATO CODJOE,,NPP,9395,2012,EKUMFI,,,M
FRANCIS PAINE ATTA,,PPP,333,2012,EKUMFI,,,M
AHMAD KALEEM ANDERSON,,NDP,120,2012,EKUMFI,,,M
JOHN MAHAMA,,NDC,15615,2012,GOMOA CENTRAL,,,P
HENRY LARTEY,,GCPP,144,2012,GOMOA CENTRAL,,,P
NANA AKUFO-ADDO,,NPP,11215,2012,GOMOA CENTRAL,,,P
PAA KWESI NDUOM,,PPP,264,2012,GOMOA CENTRAL,,,P
AKWASI ADAE,,UFP,21,2012,GOMOA CENTRAL,,,P
HASSAN AYARIGA,,PNC,45,2012,GOMOA CENTRAL,,,P
ABU SAKARA,,CPP,31,2012,GOMOA CENTRAL,,,P
JACOB OSEI YEBOAH,,IND,27,2012,GOMOA CENTRAL,,,P
RACHEL FLORENCE APPOH,,NDC,15719,2012,GOMOA CENTRAL,,,M
DR. EDWARD NANA KETU CUDJOE,,NPP,11385,2012,GOMOA CENTRAL,,,M
GRACE IGNOPHIA APPIAH,,PPP,314,2012,GOMOA CENTRAL,,,M
ISAAC TURKSON,,NDP,108,2012,GOMOA CENTRAL,,,M
JOHN MAHAMA,,NDC,19741,2012,GOMOA EAST,,,P
HENRY LARTEY,,GCPP,147,2012,GOMOA EAST,,,P
NANA AKUFO-ADDO,,NPP,15341,2012,GOMOA EAST,,,P
